,s_name,case p_type when 1 then '阅读' when 2 then '艺术' when 3 then '课程' when 4 then '万里行' end,is_use
543,金山区吕巷小学,课程,1
544,金山区学府小学,阅读,0
545,金山区学府小学,艺术,0
546,金山区学府小学,课程,0
547,,,0
548,斐泓艺术,艺术,1
549,嘉定区古猗小学,万里行,1
550,常州市娑罗巷幼儿园,万里行,1
551,金山区张堰小学,阅读,1
552,金山区张堰小学,艺术,1
553,金山区张堰小学,课程,1
554,北京市大兴区亦庄第一中心小学,阅读,1
555,北京市大兴区亦庄第一中心小学,艺术,1
556,北京市大兴区亦庄第一中心小学,课程,1
557,三亚市吉阳区海罗小学,阅读,1
558,三亚市吉阳区海罗小学,艺术,1
559,三亚市吉阳区海罗小学,课程,1
560,徐汇区高安路第一小学,阅读,0
561,徐汇区高安路第一小学,艺术,0
562,徐汇区高安路第一小学,课程,0
563,郑州市中原区育才小学,阅读,1
564,郑州市中原区育才小学,艺术,1
565,郑州市中原区育才小学,课程,1
566,郑州市中原区绿都城小学,阅读,1
567,郑州市中原区绿都城小学,艺术,1
568,郑州市中原区绿都城小学,课程,1
569,嘉定区望新小学,阅读,1
570,嘉定区望新小学,艺术,1
571,嘉定区望新小学,课程,1
572,山西省太谷师范附属小学,阅读,1
573,山西省太谷师范附属小学,艺术,1
574,山西省太谷师范附属小学,课程,1
575,静安区市西小学,阅读,1
576,闸北实验小学,阅读,1
577,长宁区哈密路小学,阅读,1
578,静安区中山北路小学,阅读,1
579,嘉定区方泰中学,阅读,1
580,上海市杨泰实验学校,阅读,1
581,宝山区第三中心小学,阅读,1
582,闵行区绿茵幼儿园,阅读,1
583,嘉定区华江小学,阅读,1
584,上海交通大学附属实验小学,阅读,1
585,上海交通大学附属实验小学,艺术,1
586,上海交通大学附属实验小学,课程,1
587,静安区中山北路小学,课程,1
588,太谷县北洸形意拳希望学校,阅读,1
589,太谷县小白乡小白小学,阅读,1
590,太谷县阳邑乡阳邑学校,阅读,1
591,山西农业大学附属学校,阅读,0
592,溧阳市殷桥小学,阅读,1
593,溧阳市汤桥小学,阅读,0
594,太谷县北洸形意拳希望学校,艺术,1
595,太谷县小白乡小白小学,艺术,1
596,太谷县阳邑乡阳邑学校,艺术,1
597,杨浦区民星路小学,阅读,0
598,嘉定区马陆育才联合中学,阅读,1
599,嘉定区江桥小学,阅读,1
600,杨浦区政立路小学,万里行,1
601,杨浦区世界小学,万里行,1
602,金山区学府小学,万里行,1
603,溧阳市南渡中心幼儿园,阅读,0
604,溧阳市溧城镇昆仑小学,阅读,1
605,溧阳市泓口小学,阅读,0
606,上海市嘉定区迎园中学,课程,1
607,上海棋院实验小学,万里行,1
608,嘉定区江桥小学,艺术,1
609,嘉定区马陆育才联合中学,艺术,1
610,小思精英学院,阅读,0
611,小思精英学院,阅读,1
612,小思精英学院,艺术,1
613,黄浦区光明小学,阅读,1
614,黄浦区光明小学,艺术,1
615,黄浦区光明小学,课程,1
616,溧阳市外国语学校,阅读,1
617,溧阳市外国语学校,艺术,1
618,溧阳市殷桥小学,艺术,1
619,溧阳市殷桥小学,课程,1
620,溧阳市溧城镇昆仑小学,艺术,1
621,溧阳市溧城镇昆仑小学,课程,1
622,溧阳市南渡中心幼儿园,万里行,1
623,溧阳市泓口小学,万里行,1
624,溧阳市竹箦中心小学,阅读,1
625,溧阳市上兴中心小学,阅读,0
626,溧阳市竹箦中心小学,艺术,1
627,溧阳市竹箦中心小学,课程,1
628,溧阳市汤桥小学,万里行,1
629,溧阳市竹箦中心小学,万里行,1
630,溧阳市上兴中心小学,万里行,1
631,常州市钟楼实验小学,阅读,0
632,合肥市乐农新村小学,阅读,0
633,无锡市育红小学,阅读,1
634,常州市钟楼实验小学,万里行,1
635,金山区吕巷小学,万里行,1
636,郑州市二七区永安街小学,课程,1
637,嘉定区江桥小学,课程,1
638,上海市金山区教院附小,课程,1
639,金山区亭林小学,课程,1
640,青浦区实验小学,课程,1
641,上海市实验小学,课程,1
642,杨浦区杭州路第一小学,课程,1
643,常州市焦溪小学,课程,1
644,常州市青龙实验小学,课程,1
645,上海师范大学第一附属小学,阅读,0
646,普陀区曹杨新村第六小学,阅读,1
647,浦东新区新世界实验小学,阅读,1
648,闵行区罗阳小学,阅读,0
649,长宁区虹桥机场小学,阅读,0
650,上海市静安小学,阅读,0
651,黄浦区梅溪小学,阅读,0
652,静安区彭浦新村第一小学,阅读,0
653,静安区西康路第三小学,阅读,0
654,奉贤区头桥小学,阅读,0
655,奉贤区育秀实验学校,阅读,0
656,奉贤区弘文学校,阅读,0
657,奉贤区江山小学,阅读,0
658,奉贤区南桥小学,阅读,0
659,奉贤区奉城第一小学,阅读,0
660,奉贤区奉城第二小学,阅读,0
661,奉贤区华亭学校,阅读,0
662,金山区山阳小学,阅读,0
663,金山区朱行小学,阅读,0
664,金山区朱泾第二小学,阅读,0
665,黄浦区复兴中路第二小学,阅读,0
666,黄浦区蓬莱路第二小学,阅读,0
667,静安区保德路小学,阅读,0
668,静安区第三中心小学,阅读,0
669,静安区临汾路小学,阅读,1
670,普陀区教育学院附属学校,阅读,0
671,普陀区金沙江路小学,阅读,0
672,普陀区陆家宅小学,阅读,0
673,上海市沙田学校,阅读,0
674,徐汇区东二小学,阅读,0
675,徐汇区上海小学,阅读,0
676,徐汇区田林第三小学,阅读,0
677,杨浦区工农新村小学,阅读,0
678,长宁区天山第二小学,阅读,0
679,长宁区新虹桥小学,阅读,0
680,华东理工大学附属小学,阅读,1
681,宝山区大华小学,阅读,0
682,嘉定区嘉涛路小学,阅读,0
683,杨浦区回民小学,课程,1
684,杨浦区回民小学,阅读,1
685,普陀区平利路第一小学,课程,1
686,普陀区平利路第一小学,阅读,1
687,溧阳市外国语学校,课程,1
688,嘉定区马陆育才联合中学,课程,1
689,上海市教育科学研究院实验小学,课程,1
690,常州市红梅实验小学,课程,1
691,太谷县北洸形意拳希望学校,课程,1
692,太谷县小白乡小白小学,课程,1
693,太谷县阳邑乡阳邑学校,课程,1
694,山西省太谷师范附属小学,万里行,1
695,太谷县北洸形意拳希望学校,万里行,1
696,太谷县小白乡小白小学,万里行,1
697,太谷县阳邑乡阳邑学校,万里行,1
698,山西农业大学附属学校,万里行,1
699,长宁区绿苑小学,课程,1
700,杨浦区市光新村第一小学,万里行,1
701,思来氏未来小学,,1
